Year	RSDN(1)_Night=0	RSUP(1)_Night=0	RLDN(1)	RLUP(1)	RNET(1)	PPT(1)	NEE 	GPP	RE 	ET	H	LE	 T_AIR(1)	T_SOIL
2010	7198.89	449.3397574	11752.19817	15928.71698	2573.031429	0	-0.2481522	2.244952	1.9968	0.474176	2273.885742	642.7724579	1.691177292	-0.778411875
2010	5365.2	289.3842704	13394.86792	16395.26352	2075.420129	0	-0.3077221	2.539709	2.231987	0.415914	1696.506678	563.7950475	3.885786029	-0.368303125
2010	8567.24	515.3682498	12040.60527	16539.45354	3553.023485	0	-0.3560066	2.681821	2.325814	0.690691	2908.062273	936.2704974	4.64200715	-0.279090208
2010	6879.54	377.6684399	14033.73304	17471.48444	3064.120164	0	0.9337891	1.909341	2.84313	0.756525	2572.532365	1025.512207	8.903945354	-0.195142708
2010	527.38	6.345472607	17444.37812	18231.63253	-266.2198853	25.5	2.4188456	0.779578	3.198423	0.2542	-980.5789323	344.5826578	12.11925208	0.099121458
2010	8029	362.0395251	14689.49335	17917.00471	4439.449119	0.5	-1.1991444	4.13186	2.932716	0.938706	1598.803461	1272.467854	10.61576104	0.689215625
2010	5375.08	262.9815978	14794.14166	17091.81333	2814.42674	0	-1.1982465	3.515294	2.317048	0.320761	1745.530687	434.8094107	6.388406875	0.730979167
2010	4535.75	225.1816041	14799.33791	16851.68757	2258.218735	0	-2.5307055	4.728516	2.197811	0.474758	1730.282883	643.5603094	5.365675208	0.84273375
2010	1576.88	59.40675224	14640.05274	15993.92208	163.6039049	12.5	0.1684387	1.590582	1.759021	0.41195	-180.7220276	558.4211147	1.687593292	0.419675625
2010	1692.56	12.8571909	13673.63515	15902.27351	-548.9355478	0	-0.6809025	2.376105	1.695203	0.196743	97.95802781	266.6964824	1.055777644	0.132478125
2010	9512.61	524.2827461	11677.12332	15992.68618	4672.764399	0	-1.8324662	3.633453	1.800987	0.546723	3636.648001	741.1140607	1.672592417	0.009650625
2010	2232.38	56.45243744	15158.42856	16431.3367	903.0194286	1.5	-0.581016	2.606603	2.025587	0.205532	373.4965685	278.6095907	3.727744167	0.693933958
2010	4325.48	155.4130232	15106.69218	16783.72839	2493.030765	0	-1.7647078	3.974949	2.210241	0.891994	690.8260965	1209.147655	5.103393333	1.590936458
2010	5977.67	291.2574549	13669.8603	16700.18054	2656.092308	0	-2.6683805	4.8561	2.187719	0.612505	1647.567543	830.2841154	4.835599688	2.196658333
2010	5160.78	261.8979264	13376.4166	16328.39342	1946.905255	0	-1.0681231	3.062802	1.994679	0.396495	1081.779661	537.4712362	3.262983333	2.042920833
